Country,2005 Sales,2006 Sales,2007 Sales,2008 Sales,2009 Sales,2010 Sales,2011 Sales,2012 Sales,2013 Sales,2014 Sales,2015 Sales,2016 Sales,2017 Sales,2018 Sales,2019 Sales,2020 Sales,2021 Sales,2022 Sales,Total Sales,Average Sales
Gabon,800.0,1000.0,1200.0,2500.0,2000.0,2000.0,2000.0,3500.0,3000.0,2900.0,1700.0,1700.0,973.0,993.0,1278.0,0.0,0.0,0.0,27544.0,1530.2222222222222
Georgia,1500.0,2000.0,6000.0,8000.0,1000.0,4000.0,3000.0,4000.0,4000.0,4300.0,3300.0,3400.0,2550.0,2800.0,2804.0,0.0,0.0,0.0,52654.0,2925.222222222222
Ghana,2500.0,3000.0,3500.0,3500.0,4500.0,4000.0,6000.0,6500.0,6600.0,6900.0,3600.0,4200.0,4066.0,4268.0,3394.0,0.0,0.0,0.0,66528.0,3696.0
Guatemala,8100.0,9400.0,12100.0,12800.0,13000.0,14100.0,15000.0,16000.0,15900.0,17300.0,18100.0,16600.0,14349.0,14360.0,13407.0,0.0,0.0,0.0,210516.0,11695.333333333334
Guyana,4085.0,4071.0,4437.0,4357.0,4446.0,4393.0,4719.0,4357.0,4256.0,4248.0,4414.0,0.0,4858.0,5373.0,5450.0,0.0,0.0,0.0,63464.0,3525.777777777778
Honduras,4800.0,5600.0,7100.0,8000.0,6000.0,1000.0,1000.0,1000.0,1000.0,1300.0,900.0,800.0,9766.0,10321.0,9508.0,0.0,0.0,0.0,68095.0,3783.0555555555557
Hong Kong,27483.0,27877.0,33462.0,35182.0,28797.0,41638.0,44845.0,45283.0,46147.0,48500.0,44261.0,36304.0,37298.0,34596.0,29117.0,0.0,0.0,0.0,560790.0,31155.0
Iceland,18060.0,17129.0,15942.0,9033.0,2113.0,3106.0,5038.0,7902.0,7274.0,9536.0,14004.0,18442.0,21324.0,17976.0,11692.0,0.0,0.0,0.0,178571.0,9920.611111111111
Iran,730000.0,850000.0,900000.0,1000000.0,1100000.0,1410403.0,1452965.0,901268.0,691709.0,1106700.0,1055400.0,1320300.0,1361456.0,912563.0,51103.0,0.0,0.0,0.0,14843867.0,824659.2777777778
Iraq,2000.0,5000.0,4000.0,20000.0,35000.0,65000.0,71500.0,80000.0,78200.0,61000.0,33500.0,16000.0,16766.0,32309.0,619028.0,0.0,0.0,0.0,1139303.0,63294.61111111111
Ivory Coast,2000.0,2500.0,2000.0,2500.0,3000.0,3500.0,3500.0,5000.0,4000.0,4300.0,4500.0,4300.0,5552.0,6075.0,7522.0,0.0,0.0,0.0,60249.0,3347.1666666666665
Jamaica,3000.0,3000.0,3000.0,3000.0,4000.0,2000.0,2000.0,2000.0,2000.0,2300.0,2300.0,2000.0,1887.0,5232.0,5232.0,0.0,0.0,0.0,42951.0,2386.1666666666665
Jordan,10000.0,5000.0,5000.0,9000.0,10500.0,10000.0,11000.0,11500.0,14500.0,15700.0,14700.0,12400.0,12780.0,13166.0,14000.0,0.0,106304.0,0.0,275550.0,15308.333333333334
Kenya,2000.0,3000.0,2000.0,2000.0,5000.0,4000.0,4000.0,2000.0,2500.0,3000.0,2900.0,2400.0,2124.0,2861.0,2307.0,0.0,0.0,0.0,42092.0,2338.4444444444443
Kyrgyzstan,5000.0,5000.0,5000.0,4000.0,4500.0,4000.0,5000.0,4000.0,4000.0,4000.0,4000.0,1800.0,2000.0,2100.0,1348.0,0.0,0.0,0.0,55748.0,3097.1111111111113
Laos,1000.0,1000.0,1500.0,2000.0,3000.0,4000.0,4000.0,5000.0,6000.0,9800.0,5600.0,4200.0,3410.0,3741.0,4064.0,0.0,0.0,0.0,58315.0,3239.722222222222
Latvia,10467.0,14234.0,21606.0,22217.0,7515.0,7970.0,13234.0,10665.0,10636.0,12452.0,13765.0,16359.0,16698.0,16878.0,16974.0,0.0,0.0,0.0,211670.0,11759.444444444445
Lebanon,15000.0,15000.0,20000.0,33000.0,32000.0,33000.0,31000.0,35500.0,35500.0,38300.0,38700.0,35600.0,37221.0,33012.0,22086.0,0.0,0.0,0.0,454919.0,25273.277777777777
Liberia,300.0,200.0,300.0,300.0,200.0,300.0,200.0,210.0,210.0,200.0,200.0,300.0,224.0,80.0,68.0,0.0,0.0,0.0,3292.0,182.88888888888889
Libya,35000.0,35000.0,36000.0,37000.0,37500.0,38000.0,39000.0,20000.0,30000.0,30000.0,38500.0,31600.0,11000.0,12500.0,16100.0,0.0,0.0,0.0,447200.0,24844.444444444445
